Bezeichnung;Value for threshold delta;principles_fulfilled
CATEGORIZER mit Epsilon=0.00010;0.21420;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21430;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21440;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21450;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21460;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21470;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21480;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21490;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21500;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21510;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21520;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21530;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21540;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21550;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21560;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21570;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21580;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21590;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21600;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21610;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21620;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21630;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21640;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21650;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21660;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21670;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21680;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21690;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21700;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21710;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21720;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21730;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21740;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21750;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21760;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21770;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21780;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21790;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21800;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21810;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21820;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21830;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21840;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21850;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21860;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21870;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21880;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21890;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21900;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21910;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21920;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21930;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21940;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21950;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21960;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21970;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21980;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.21990;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22000;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22010;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22020;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22030;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22040;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22050;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22060;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22070;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22080;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22090;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22100;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22110;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22120;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22130;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22140;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22150;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22160;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22170;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22180;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22190;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22200;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22210;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22220;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22230;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22240;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22250;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22260;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22270;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22280;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22290;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22300;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22310;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22320;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22330;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22340;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22350;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22360;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22370;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22380;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22390;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22400;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22410;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22420;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22430;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22440;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22450;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22460;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22470;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22480;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22490;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22500;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22510;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22520;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22530;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22540;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22550;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22560;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22570;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22580;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22590;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22600;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22610;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22620;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22630;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22640;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22650;{I-Maximality / CF-Reinstatement / Reduct Admissibility / Modularization}
CATEGORIZER mit Epsilon=0.00010;0.22660;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22670;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22680;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22690;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22700;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22710;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22720;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22730;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22740;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22750;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22760;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22770;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22780;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22790;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22800;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22810;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22820;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22830;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22840;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22850;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22860;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22870;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22880;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22890;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22900;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22910;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22920;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22930;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22940;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22950;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22960;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22970;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22980;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.22990;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23000;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23010;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23020;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23030;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23040;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23050;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23060;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23070;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23080;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23090;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23100;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23110;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23120;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23130;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23140;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23150;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23160;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23170;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23180;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23190;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23200;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23210;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23220;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23230;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23240;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23250;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23260;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23270;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23280;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23290;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23300;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23310;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23320;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23330;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23340;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23350;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23360;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23370;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23380;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23390;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23400;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23410;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23420;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23430;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23440;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23450;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23460;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23470;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23480;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23490;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23500;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23510;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23520;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23530;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23540;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23550;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23560;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23570;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23580;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23590;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23600;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23610;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23620;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23630;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23640;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23650;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23660;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23670;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23680;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23690;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23700;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23710;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23720;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23730;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23740;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23750;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23760;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23770;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23780;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23790;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23800;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23810;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23820;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23830;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23840;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23850;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23860;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23870;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23880;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23890;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23900;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23910;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23920;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23930;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23940;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23950;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23960;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23970;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23980;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.23990;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24000;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24010;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24020;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24030;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24040;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24050;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24060;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24070;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24080;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24090;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24100;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24110;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24120;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24130;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24140;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24150;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24160;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24170;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24180;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24190;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24200;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24210;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24220;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24230;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24240;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24250;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24260;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24270;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24280;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24290;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24300;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24310;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24320;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24330;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24340;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24350;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24360;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24370;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24380;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24390;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24400;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24410;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24420;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24430;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24440;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24450;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24460;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24470;{I-Maximality / CF-Reinstatement}
CATEGORIZER mit Epsilon=0.00010;0.24480;{I-Maximality / CF-Reinstatement}
